income_rises,2010_inx,2011_inx,2012_inx,2013_inx,2014_inx,2015_inx,2016_inx,2017_inx,2018_inx,2019_inx,2020_inx,2021_inx,2022_inx,2023_inx,2024_inx
Rest of London,100,103.54710655458213,107.5218926956872,126.45704728641971,145.85266963957025,159.23382894441772,170.99404539722812,195.57728530155487,199.06188444601636,200.18581195595863,207.625408841694,190.69828696448977,206.28481944370537,202.370052974121,178.2586893390726
Rest of lowest 2012 income quintiles,100,99.69808616231933,104.15460573621425,118.51308435640433,136.9256726776565,167.7633082585494,184.82358765485458,205.64026233091545,214.65368042885177,214.1205608249343,235.74965835979845,233.12085267633393,242.6776758703338,244.9319405078866,202.53461215428564
Biggest rises,100,100.45245378248784,111.73569538168758,132.9177000794485,165.2635830014393,179.9444266750043,222.00685264664148,227.0800909385723,275.3914697520077,339.9204572980262,275.7222740974603,351.5904383471998,284.04193485080225,265.54622235801577,234.73542992363411
